session,trial,person_001,person_002,person_003,person_004,person_005,person_006,person_007,person_008,person_009,person_010,person_011,person_012,person_013,person_014,person_015,person_016,person_017,person_018,person_019
004,4,0.5258620689655172,0.5258620689655172,0.8017241379310345,0.8103448275862069,0.8706896551724138,0.8706896551724138,0.5689655172413793,0.853448275862069,0.853448275862069,0.853448275862069,0.853448275862069,0.8620689655172413,0.853448275862069,0.9137931034482759,0.9137931034482759,0.9137931034482759,0.853448275862069,0.9137931034482759,0.8620689655172413
004,5,0.5258620689655172,0.7413793103448276,0.8017241379310345,0.9137931034482759,0.7327586206896551,0.646551724137931,0.646551724137931,0.8275862068965517,0.7844827586206896,0.8275862068965517,0.7844827586206896,0.7672413793103449,0.7672413793103449,0.7413793103448276,0.7413793103448276,0.7413793103448276,0.7413793103448276,0.75,0.7241379310344828
004,6,0.5258620689655172,0.5258620689655172,0.5258620689655172,0.5258620689655172,0.5258620689655172,0.5258620689655172,0.5258620689655172,0.5258620689655172,0.853448275862069,0.853448275862069,0.8620689655172413,0.8620689655172413,0.8706896551724138,0.853448275862069,0.8706896551724138,0.8275862068965517,0.8362068965517241,0.8362068965517241,0.8362068965517241
004,7,0.47413793103448276,0.5517241379310345,0.4827586206896552,0.5086206896551724,0.7413793103448276,0.5,0.5172413793103449,0.7413793103448276,0.6896551724137931,0.7413793103448276,0.7586206896551724,0.7931034482758621,0.7672413793103449,0.8017241379310345,0.8017241379310345,0.7413793103448276,0.7931034482758621,0.7672413793103449,0.7413793103448276
004,8,0.47413793103448276,0.47413793103448276,0.5086206896551724,0.5948275862068966,0.6982758620689655,0.603448275862069,0.5517241379310345,0.7327586206896551,0.603448275862069,0.75,0.7241379310344828,0.7241379310344828,0.853448275862069,0.7155172413793104,0.853448275862069,0.853448275862069,0.853448275862069,0.853448275862069,0.7155172413793104
004,9,0.47413793103448276,0.6379310344827587,0.7844827586206896,0.7327586206896551,0.7844827586206896,0.7844827586206896,0.49137931034482757,0.7844827586206896,0.8103448275862069,0.8706896551724138,0.8017241379310345,0.8017241379310345,0.8706896551724138,0.8706896551724138,0.8017241379310345,0.8706896551724138,0.9137931034482759,0.9137931034482759,0.8017241379310345
004,10,0.47413793103448276,0.8103448275862069,0.7931034482758621,0.7068965517241379,0.6982758620689655,0.7931034482758621,0.7931034482758621,0.7413793103448276,0.7844827586206896,0.7931034482758621,0.7413793103448276,0.7844827586206896,0.8103448275862069,0.7931034482758621,0.8103448275862069,0.8103448275862069,0.8448275862068966,0.7672413793103449,0.8275862068965517
004,mean,0.4948275862068966,0.6413793103448275,0.6724137931034482,0.6853448275862069,0.7422413793103447,0.7172413793103448,0.6500000000000001,0.7706896551724138,0.7612068965517241,0.8206896551724139,0.8120689655172415,0.8215517241379311,0.8413793103448276,0.7913793103448276,0.8224137931034484,0.8318965517241379,0.8301724137931034,0.8181034482758621,0.8
004,std_dev,0.02533954906327425,0.10932992318957027,0.13895097040316406,0.13306335379683734,0.0912694525060877,0.12935631366829442,0.12810936543627532,0.1010644888948472,0.07436313030415395,0.05126230602523622,0.058696705277755876,0.06010420004673572,0.05175286558552978,0.0755282624614121,0.06024622486088328,0.056955298824685974,0.05534053050242771,0.05737132114474082,0.060320192015641025
005,1,0.5508474576271186,0.5508474576271186,0.5508474576271186,0.5508474576271186,0.5508474576271186,0.5423728813559322,0.5932203389830508,0.6101694915254238,0.711864406779661,0.8559322033898306,0.864406779661017,0.8983050847457628,0.923728813559322,0.8983050847457628,0.923728813559322,0.9152542372881356,0.923728813559322,0.8983050847457628,0.923728813559322
